date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2018-08-04 22:00:00,27.46,83.40799999999999,2.9846666666666666,48.0,0.0,0.0,0.0
2018-08-04 23:00:00,27.01538461538461,91.70461538461538,2.056153846153846,118.46153846153848,0.0,0.0,0.0
2018-08-05 00:00:00,27.01538461538461,89.61615384615385,2.177692307692307,66.15384615384616,0.0,0.0,0.0
2018-08-05 01:00:00,27.01538461538461,88.80230769230768,2.3353846153846147,80.0,0.0,0.0,0.0
2018-08-05 02:00:00,27.01538461538461,84.58153846153847,2.890000000000001,80.0,0.0,0.0,0.0
2018-08-05 03:00:00,26.77692307692308,85.00461538461538,2.5323076923076924,76.15384615384616,0.0,0.0,0.0
2018-08-05 04:00:00,26.976923076923075,83.98307692307692,0.5923076923076923,16.153846153846153,0.0,0.0,0.0
2018-08-05 05:00:00,26.70000000000001,87.77153846153846,1.7007692307692308,61.53846153846154,0.0,0.0,0.0
2018-08-05 06:00:00,26.976923076923075,83.98307692307692,0.8292307692307693,35.384615384615394,0.0,0.0,0.0
2018-08-05 07:00:00,27.36923076923077,88.22615384615385,1.463846153846154,43.846153846153854,49.0,139.5,31.5
2018-08-05 08:00:00,28.607692307692307,80.3923076923077,4.116153846153846,99.23076923076924,233.0,483.5,81.5
2018-08-05 09:00:00,27.478571428571428,81.45642857142856,4.263571428571429,81.42857142857143,395.0,502.5,140.5
2018-08-05 10:00:00,30.228571428571428,72.5214285714286,5.695,87.85714285714286,390.0,316.5,156.0
2018-08-05 11:00:00,30.54615384615385,67.97615384615384,5.302307692307694,100.76923076923076,788.5,736.5,166.0
2018-08-05 12:00:00,31.153846153846153,64.22846153846154,6.330769230769231,95.3846153846154,917.0,804.5,158.5
2018-08-05 13:00:00,31.4,64.57384615384613,6.0138461538461545,102.30769230769228,842.5,505.5,344.0
2018-08-05 14:00:00,32.015384615384605,59.175384615384615,6.211538461538463,94.6153846153846,949.5,824.5,152.0
2018-08-05 15:00:00,31.641666666666666,63.44833333333333,5.656666666666666,97.5,862.5,806.0,143.0
2018-08-05 16:00:00,31.925,59.48250000000001,5.871666666666667,103.33333333333331,727.5,787.0,125.0
2018-08-05 17:00:00,30.892307692307693,66.54769230769232,6.054615384615384,95.3846153846154,537.5,713.5,112.0
2018-08-05 18:00:00,30.96923076923077,61.79461538461539,5.380769230769231,83.07692307692308,322.0,582.0,91.0
2018-08-05 19:00:00,29.376923076923074,68.4753846153846,5.697692307692307,82.30769230769229,114.0,310.0,55.0
2018-08-05 20:00:00,28.838461538461537,70.94538461538461,4.906153846153846,73.07692307692308,4.5,12.0,4.5
2018-08-05 21:00:00,28.023076923076925,76.84615384615384,3.1261538461538465,71.53846153846153,0.0,0.0,0.0
2018-08-05 22:00:00,28.023076923076925,74.36384615384615,2.730769230769231,59.23076923076921,0.0,0.0,0.0
2018-08-05 23:00:00,27.784615384615392,79.24153846153847,2.7707692307692304,40.769230769230774,0.0,0.0,0.0
2018-08-06 00:00:00,27.98461538461539,79.00384615384617,2.8092307692307688,67.69230769230771,0.0,0.0,0.0
2018-08-06 01:00:00,27.323076923076922,80.03384615384614,2.770769230769231,103.84615384615385,0.0,0.0,0.0
2018-08-06 02:00:00,26.27692307692308,78.3992307692308,3.71923076923077,113.84615384615385,0.0,0.0,0.0
2018-08-06 03:00:00,25.96923076923077,81.02538461538462,0.91,33.07692307692308,0.0,0.0,0.0
2018-08-06 04:00:00,25.892307692307693,84.06692307692309,0.9476923076923076,49.23076923076921,0.0,0.0,0.0
2018-08-06 05:00:00,25.69230769230769,85.29384615384616,1.4615384615384617,86.92307692307692,0.0,0.0,0.0
2018-08-06 06:00:00,25.96923076923077,87.30769230769229,1.5830769230769233,267.6923076923077,0.0,0.0,0.0
2018-08-06 07:00:00,26.43846153846154,86.74000000000002,1.6607692307692306,220.7692307692308,46.0,149.0,29.0
2018-08-06 08:00:00,28.376923076923074,77.28,2.0976923076923075,36.153846153846146,240.5,547.0,70.5
2018-08-06 09:00:00,29.81538461538461,65.26692307692308,4.550769230769231,56.153846153846146,462.5,715.5,92.0
2018-08-06 10:00:00,30.661538461538463,61.72538461538462,4.9061538461538445,70.76923076923076,667.0,800.0,106.0
2018-08-06 11:00:00,31.592307692307692,60.47923076923076,5.53923076923077,56.153846153846146,815.0,808.0,132.5
2018-08-06 12:00:00,32.09230769230769,58.36461538461539,6.609230769230769,61.53846153846154,928.5,841.0,136.0
2018-08-06 13:00:00,32.169230769230765,58.289230769230784,7.281538461538463,62.30769230769231,968.0,827.5,154.0
2018-08-06 14:00:00,32.292307692307695,56.80846153846154,7.161538461538464,66.15384615384616,913.0,747.0,191.0
2018-08-06 15:00:00,32.207692307692305,54.250769230769215,7.203076923076923,68.46153846153847,776.0,593.5,241.5
2018-08-06 16:00:00,31.592307692307692,60.0476923076923,6.9638461538461565,63.07692307692307,670.0,622.0,196.5
2018-08-06 17:00:00,31.31538461538461,60.74307692307693,7.203076923076923,57.69230769230769,452.5,407.5,203.5
2018-08-06 18:00:00,30.58333333333333,66.75666666666667,6.816666666666666,69.16666666666667,254.0,289.0,140.0
2018-08-06 19:00:00,28.99230769230769,73.85,6.212307692307691,63.07692307692307,93.0,189.0,58.5
2018-08-06 20:00:00,28.330769230769228,76.79076923076923,5.38,67.69230769230771,4.0,9.0,4.0
2018-08-06 21:00:00,28.025,79.01250000000002,4.6725,84.16666666666667,0.0,0.0,0.0
2018-08-06 22:00:00,28.023076923076925,78.82923076923079,4.7092307692307696,86.15384615384615,0.0,0.0,0.0
2018-08-06 23:00:00,28.023076923076925,78.82923076923079,4.117692307692308,92.30769230769228,0.0,0.0,0.0
2018-08-07 00:00:00,28.023076923076925,78.4746153846154,3.5623076923076926,105.3846153846154,0.0,0.0,0.0
2018-08-07 01:00:00,27.98461538461539,79.00384615384617,4.353076923076923,123.07692307692308,0.0,0.0,0.0
2018-08-07 02:00:00,27.98461538461539,75.06615384615384,3.8792307692307686,138.46153846153842,0.0,0.0,0.0
2018-08-07 03:00:00,26.976923076923075,78.27999999999999,2.0969230769230767,118.46153846153848,0.0,0.0,0.0
2018-08-07 04:00:00,26.238461538461536,77.68230769230772,2.0976923076923075,103.84615384615385,0.0,0.0,0.0
2018-08-07 05:00:00,25.892307692307693,79.27000000000002,1.9384615384615385,90.0,0.0,0.0,0.0
2018-08-07 06:00:00,26.207692307692305,80.26,0.3553846153846154,22.30769230769231,0.0,0.0,0.0
2018-08-07 07:00:00,27.06153846153846,81.31461538461541,0.7107692307692308,40.769230769230774,49.5,170.5,29.5
2018-08-07 08:00:00,28.92307692307693,74.89692307692306,4.313076923076922,120.0,233.5,504.0,77.5
2018-08-07 09:00:00,30.153846153846153,69.76769230769231,5.460769230769231,130.0,444.5,648.0,110.5
2018-08-07 10:00:00,30.69230769230769,67.6276923076923,5.42076923076923,124.6153846153846,523.0,429.5,223.5
2018-08-07 11:00:00,30.79230769230769,68.05307692307693,5.183076923076923,160.76923076923075,470.0,250.5,264.5
2018-08-07 12:00:00,28.364285714285717,80.15785714285713,3.6378571428571433,190.7142857142857,678.5,443.0,258.5
2018-08-07 13:00:00,29.34375,80.17937500000002,4.3213333333333335,167.14285714285714,697.0,288.5,413.5
2018-08-07 14:00:00,31.46428571428571,68.6335714285714,6.687857142857142,127.14285714285714,511.0,138.0,378.0
2018-08-07 15:00:00,31.46923076923077,65.45846153846153,6.053846153846152,117.69230769230772,453.5,149.0,321.5
2018-08-07 16:00:00,30.907142857142862,66.35714285714286,4.226428571428571,115.3846153846154,520.5,354.0,255.5
2018-08-07 17:00:00,31.175,66.29166666666667,5.915833333333333,128.33333333333334,514.5,600.0,158.0
2018-08-07 18:00:00,30.615384615384606,68.09076923076923,5.9753846153846135,120.76923076923076,293.0,413.0,128.0
2018-08-07 19:00:00,29.338461538461537,73.24538461538461,4.787692307692307,128.46153846153842,92.0,133.5,65.0
2018-08-07 20:00:00,28.99230769230769,75.04615384615383,4.116153846153846,137.69230769230768,3.0,1.5,3.0
2018-08-07 21:00:00,28.1,80.1623076923077,3.127692307692308,146.9230769230769,0.0,0.0,0.0
